identifier,name,in_language,url,abstract,word_count,sections_count,citations_count,has_infobox,infobox_fields_count,categories,outgoing_links,referenceneed_flag,citation_density,structural_health,quality_tier
100011,Higgs Boson,en,https://en.wikipedia.org/wiki/Higgs_Boson,"Elementary particle in the Standard Model of particle physics Comprehensive survey covering definitions, historical development, and research implications.",197,2,1,False,0,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Classical Music', 'Kabuki Theatre', 'Superconductivity']",True,5.08,37.9,Stub Class
100012,Plate Tectonics,en,https://en.wikipedia.org/wiki/Plate_Tectonics,"Scientific theory explaining the dynamics of Earth's lithosphere Comprehensive survey covering definitions, historical development, and research implications.",908,5,8,False,0,"['Science & Technology', 'Articles on Science']","['Artificial Intelligence', 'Kabuki Theatre', 'Existentialism', 'Industrial Revolution', 'Lake Baikal', 'Universal Declaration of Human Rights']",True,8.81,58.4,C Class
100013,Dark Matter,en,https://en.wikipedia.org/wiki/Dark_Matter,"Hypothetical form of matter thought to account for 85% of matter Comprehensive survey covering definitions, historical development, and research implications.",1046,4,5,True,10,"['Science & Technology', 'Articles on Science']","['Mount Everest', 'Artificial Intelligence', 'Postmodern Literature', 'Renaissance Humanism', 'Great Barrier Reef', 'Quantum Computing', 'Superconductivity', 'Harappan Civilization', 'Magna Carta']",False,4.78,69.3,C Class
100014,Microbiome,en,https://en.wikipedia.org/wiki/Microbiome,"Aggregate of all microbiota residing on or within tissues Comprehensive survey covering definitions, historical development, and research implications.",428,4,2,False,0,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Nanotechnology', 'Public Health', 'Homeric Epics', 'Ring of Fire', 'Nile River Basin', 'Graphene', 'Industrial Revolution', 'Mount Everest', 'Postmodern Literature']",True,4.67,45.96,Start Class
100015,Byzantine Empire,en,https://en.wikipedia.org/wiki/Byzantine_Empire,"Continuation of the Roman Empire in its eastern provinces Comprehensive survey covering definitions, historical development, and research implications.",2134,9,11,False,0,"['History & Civilizations', 'Articles on History']","['Harappan Civilization', 'Amazon Rainforest', 'Mount Everest', 'Existentialism', 'Superconductivity', 'Microbiome', 'Thermodynamics']",False,5.15,59.2,C Class
100016,Industrial Revolution,en,https://en.wikipedia.org/wiki/Industrial_Revolution,"Transition to new manufacturing processes in Europe and US Comprehensive survey covering definitions, historical development, and research implications.",2527,8,15,True,9,"['History & Civilizations', 'Articles on History']","['Film Noir', 'Impressionism', 'James Webb Space Telescope']",False,5.94,83.68,B Class
100017,Silk Road,en,https://en.wikipedia.org/wiki/Silk_Road,"Historic network of Eurasian trade routes connecting East and West Comprehensive survey covering definitions, historical development, and research implications.",1384,5,11,True,10,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Homeric Epics', 'Great Barrier Reef', 'Dark Matter', 'Galapagos Islands', 'Nanotechnology']",False,7.95,84.46,C Class
100018,Ancient Alexandria,en,https://en.wikipedia.org/wiki/Ancient_Alexandria,"Major Hellenistic center of commerce and scholarship in Egypt Comprehensive survey covering definitions, historical development, and research implications.",3923,10,38,True,18,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Mariana Trench', 'French Revolution', 'Public Health', 'Mesopotamia', 'Sahara Desert', 'Kabuki Theatre', 'James Webb Space Telescope', 'Classical Music']",False,9.69,99.53,Good / Featured Article
100019,Magna Carta,en,https://en.wikipedia.org/wiki/Magna_Carta,"Royal charter of rights agreed to by King John of England Comprehensive survey covering definitions, historical development, and research implications.",447,3,1,True,6,"['History & Civilizations', 'Articles on History']","['Photosynthesis', 'Byzantine Empire', 'Plate Tectonics', 'Sociology of Knowledge', 'Galapagos Islands', 'Amazon Rainforest', 'Nanotechnology', 'Mariana Trench', 'Higgs Boson']",True,2.24,54.11,Start Class
100020,Renaissance Humanism,en,https://en.wikipedia.org/wiki/Renaissance_Humanism,"Intellectual movement originating in 14th-century Italy Comprehensive survey covering definitions, historical development, and research implications.",3037,16,62,True,12,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Galapagos Islands', 'Existentialism', 'Artificial Intelligence', 'General Relativity', 'Universal Declaration of Human Rights', 'Byzantine Empire', 'Graphene', 'Mesopotamia']",False,20.41,100.0,Good / Featured Article
100021,Meiji Restoration,en,https://en.wikipedia.org/wiki/Meiji_Restoration,"Political event that restored practical imperial rule to Japan Comprehensive survey covering definitions, historical development, and research implications.",1892,11,27,True,16,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Space Race', 'Industrial Revolution', 'Behavioral Economics']",False,14.27,97.58,B Class
100022,French Revolution,en,https://en.wikipedia.org/wiki/French_Revolution,"Period of radical political and societal change in France Comprehensive survey covering definitions, historical development, and research implications.",351,2,3,False,0,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Deep Learning', 'Plate Tectonics', 'Ancient Alexandria', 'Dark Matter', 'James Webb Space Telescope', 'Renaissance Art']",True,8.55,47.34,Start Class
100023,Harappan Civilization,en,https://en.wikipedia.org/wiki/Harappan_Civilization,"Bronze Age civilization in the northwestern regions of South Asia Comprehensive survey covering definitions, historical development, and research implications.",1040,4,10,True,8,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Mount Everest', 'Graphene', 'James Webb Space Telescope', 'Lake Baikal', 'General Relativity', 'Higgs Boson', 'Thermodynamics', 'Postmodern Literature', 'Universal Declaration of Human Rights']",False,9.62,82.86,C Class
100024,Space Race,en,https://en.wikipedia.org/wiki/Space_Race,"20th-century competition between Soviet Union and United States Comprehensive survey covering definitions, historical development, and research implications.",1009,5,9,False,0,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['General Relativity', 'Mesopotamia', 'Homeric Epics', 'Renaissance Art', 'Antarctic Ice Sheet', 'Mount Everest', 'Renaissance Humanism']",False,8.92,63.05,C Class
100025,Ottoman Empire,en,https://en.wikipedia.org/wiki/Ottoman_Empire,"Imperial realm controlling much of Southeast Europe and Western Asia Comprehensive survey covering definitions, historical development, and research implications.",902,5,5,True,5,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Renaissance Humanism', 'Universal Declaration of Human Rights', 'Thermodynamics', 'Artificial Intelligence', 'Sahara Desert', 'Baroque Architecture']",True,5.54,71.24,C Class
100026,Mesopotamia,en,https://en.wikipedia.org/wiki/Mesopotamia,"Historical region of Western Asia situated within the Tigris–Euphrates Comprehensive survey covering definitions, historical development, and research implications.",240,1,1,False,0,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Harappan Civilization', 'Ancient Alexandria', 'Graphene', 'Amazon Rainforest']",True,4.17,35.57,Stub Class
100027,Mariana Trench,en,https://en.wikipedia.org/wiki/Mariana_Trench,"Deepest oceanic trench on Earth located in western Pacific Comprehensive survey covering definitions, historical development, and research implications.",1419,6,7,False,0,"['Geography & Earth', 'Articles on Geography']","['Photosynthesis', 'Nanotechnology', 'Industrial Revolution', 'Superconductivity', 'Public Health', 'Game Theory', 'Nile River Basin', 'Deep Learning']",False,4.93,54.33,C Class
100028,Amazon Rainforest,en,https://en.wikipedia.org/wiki/Amazon_Rainforest,"Moist broadleaf tropical rainforest in the Amazon basin Comprehensive survey covering definitions, historical development, and research implications.",1941,11,18,True,12,"['Geography & Earth', 'Articles on Geography']","['Industrial Revolution', 'James Webb Space Telescope', 'General Relativity', 'Impressionism', 'Mariana Trench', 'Silk Road']",False,9.27,89.08,B Class
100029,Sahara Desert,en,https://en.wikipedia.org/wiki/Sahara_Desert,"Largest hot desert in the world covering North Africa Comprehensive survey covering definitions, historical development, and research implications.",2504,10,18,True,8,"['Geography & Earth', 'Articles on Geography']","['Nile River Basin', 'Film Noir', 'Mariana Trench', 'Public Health', 'Artificial Intelligence', 'Superconductivity']",False,7.19,87.3,B Class
100030,Ring of Fire,en,https://en.wikipedia.org/wiki/Ring_of_Fire,"Major area in the basin of the Pacific Ocean where earthquakes occur Comprehensive survey covering definitions, historical development, and research implications.",263,2,0,False,0,"['Geography & Earth', 'Articles on Geography', 'Open Source Tech Envoy Corpus']","['Nile River Basin', 'Deep Learning', 'Mariana Trench', 'Nanotechnology', 'CRISPR Gene Editing', 'Magna Carta', 'Harappan Civilization']",True,0.0,31.2,Stub Class
100031,Great Barrier Reef,en,https://en.wikipedia.org/wiki/Great_Barrier_Reef,"World's largest coral reef system off Queensland, Australia Comprehensive survey covering definitions, historical development, and research implications.",2016,7,18,True,10,"['Geography & Earth', 'Articles on Geography', 'Open Source Tech Envoy Corpus']","['French Revolution', 'Epistemology', 'Nile River Basin']",False,8.93,92.11,B Class
100032,Lake Baikal,en,https://en.wikipedia.org/wiki/Lake_Baikal,"Ancient, massive lake in mountainous Russian region of Siberia Comprehensive survey covering definitions, historical development, and research implications.",1221,5,14,False,0,"['Geography & Earth', 'Articles on Geography']","['Higgs Boson', 'Mesopotamia', 'Quantum Computing', 'Public Health', 'Game Theory', 'Meiji Restoration', 'Existentialism', 'Homeric Epics', 'Byzantine Empire']",False,11.47,65.34,C Class
100033,Mount Everest,en,https://en.wikipedia.org/wiki/Mount_Everest,"Earth's highest mountain above sea level in Mahalangur Himal Comprehensive survey covering definitions, historical development, and research implications.",263,1,0,False,0,"['Geography & Earth', 'Articles on Geography']","['Plate Tectonics', 'Sociology of Knowledge', 'Sahara Desert', 'French Revolution']",True,0.0,25.86,Stub Class
100034,Galapagos Islands,en,https://en.wikipedia.org/wiki/Galapagos_Islands,"Volcanic archipelago in Pacific Ocean known for endemic species Comprehensive survey covering definitions, historical development, and research implications.",2295,6,24,True,9,"['Geography & Earth', 'Articles on Geography', 'Open Source Tech Envoy Corpus']","['Silk Road', 'Thermodynamics', 'Epistemology', 'French Revolution', 'Surrealism']",False,10.46,97.99,B Class
100035,Nile River Basin,en,https://en.wikipedia.org/wiki/Nile_River_Basin,"Major north-flowing river drainage system in northeastern Africa Comprehensive survey covering definitions, historical development, and research implications.",148,2,2,False,0,"['Geography & Earth', 'Articles on Geography', 'Open Source Tech Envoy Corpus']","['Higgs Boson', 'Renaissance Art', 'Industrial Revolution', 'CRISPR Gene Editing', 'Photosynthesis']",True,13.51,44.37,Stub Class
100036,Antarctic Ice Sheet,en,https://en.wikipedia.org/wiki/Antarctic_Ice_Sheet,"Single largest mass of ice on Earth covering Antarctica Comprehensive survey covering definitions, historical development, and research implications.",1893,9,8,False,0,"['Geography & Earth', 'Articles on Geography']","['Space Race', 'Plate Tectonics']",False,4.23,55.39,C Class
100037,Renaissance Art,en,https://en.wikipedia.org/wiki/Renaissance_Art,"Painting, sculpture, and decorative arts of European Renaissance Comprehensive survey covering definitions, historical development, and research implications.",2560,9,1,True,8,"['Literature & Arts', 'Articles on Literature', 'Open Source Tech Envoy Corpus']","['Classical Music', 'Kabuki Theatre', 'Game Theory', 'Sociology of Knowledge', 'Homeric Epics', 'Plate Tectonics', 'Harappan Civilization']",True,0.39,70.35,Start Class
100038,Postmodern Literature,en,https://en.wikipedia.org/wiki/Postmodern_Literature,"Form of literature characterized by reliance on meta-fiction Comprehensive survey covering definitions, historical development, and research implications.",529,3,3,True,6,"['Literature & Arts', 'Articles on Literature']","['Kabuki Theatre', 'Magna Carta', 'Lake Baikal']",True,5.67,61.35,Start Class
100039,Baroque Architecture,en,https://en.wikipedia.org/wiki/Baroque_Architecture,"Highly decorative and theatrical style of building in Europe Comprehensive survey covering definitions, historical development, and research implications.",3431,10,52,True,16,"['Literature & Arts', 'Articles on Literature', 'Open Source Tech Envoy Corpus']","['Homeric Epics', 'Space Race', 'Classical Music', 'Game Theory', 'Higgs Boson']",False,15.16,100.0,Good / Featured Article
100040,Impressionism,en,https://en.wikipedia.org/wiki/Impressionism,"19th-century art movement characterized by visible brush strokes Comprehensive survey covering definitions, historical development, and research implications.",2291,10,20,True,15,"['Literature & Arts', 'Articles on Literature', 'Open Source Tech Envoy Corpus']","['Behavioral Economics', 'Renaissance Art', 'Postmodern Literature', 'Surrealism', 'Renaissance Humanism', 'Sahara Desert']",False,8.73,93.68,B Class
100041,Surrealism,en,https://en.wikipedia.org/wiki/Surrealism,"Cultural movement beginning in 1920s depicting unnerving scenes Comprehensive survey covering definitions, historical development, and research implications.",739,4,2,False,0,"['Literature & Arts', 'Articles on Literature']","['Game Theory', 'Graphene', 'Homeric Epics', 'General Relativity', 'Ancient Alexandria', 'Lake Baikal', 'Sociology of Knowledge', 'Impressionism', 'Baroque Architecture']",True,2.71,42.56,Start Class
100042,Homeric Epics,en,https://en.wikipedia.org/wiki/Homeric_Epics,"Ancient Greek epic poems attributed to Homer: Iliad and Odyssey Comprehensive survey covering definitions, historical development, and research implications.",256,2,0,False,0,"['Literature & Arts', 'Articles on Literature', 'Open Source Tech Envoy Corpus']","['Quantum Computing', 'CRISPR Gene Editing', 'Byzantine Empire', 'Ring of Fire']",True,0.0,31.06,Stub Class
100043,Classical Music,en,https://en.wikipedia.org/wiki/Classical_Music,"Art music produced in the traditions of Western culture Comprehensive survey covering definitions, historical development, and research implications.",951,4,4,True,5,"['Literature & Arts', 'Articles on Literature']","['Film Noir', 'Bauhaus Movement', 'Space Race', 'Great Barrier Reef']",False,4.21,63.59,C Class
100044,Bauhaus Movement,en,https://en.wikipedia.org/wiki/Bauhaus_Movement,"German art school operational from 1919 to 1933 combining crafts Comprehensive survey covering definitions, historical development, and research implications.",2087,9,16,False,0,"['Literature & Arts', 'Articles on Literature', 'Open Source Tech Envoy Corpus']","['Sahara Desert', 'James Webb Space Telescope', 'Nile River Basin', 'Byzantine Empire', 'Superconductivity', 'Public Health', 'Nanotechnology']",False,7.67,69.2,C Class
100045,Film Noir,en,https://en.wikipedia.org/wiki/Film_Noir,"Cinematic term used primarily to describe stylish Hollywood crime dramas Comprehensive survey covering definitions, historical development, and research implications.",2086,8,28,True,11,"['Literature & Arts', 'Articles on Literature', 'Open Source Tech Envoy Corpus']","['Amazon Rainforest', 'Baroque Architecture', 'Sociology of Knowledge', 'Kabuki Theatre', 'Lake Baikal', 'Mariana Trench', 'Nile River Basin', 'Public Health', 'Graphene']",False,13.42,98.09,B Class
100046,Kabuki Theatre,en,https://en.wikipedia.org/wiki/Kabuki_Theatre,"Classical Japanese dance-drama known for stylized drama and makeup Comprehensive survey covering definitions, historical development, and research implications.",79,2,2,False,0,"['Literature & Arts', 'Articles on Literature']","['Epistemology', 'Mount Everest', 'Great Barrier Reef', 'Impressionism', 'Byzantine Empire']",True,25.32,37.74,Stub Class
100047,Game Theory,en,https://en.wikipedia.org/wiki/Game_Theory,"Mathematical study of strategic interaction among rational agents Comprehensive survey covering definitions, historical development, and research implications.",1665,9,27,True,13,"['Social Sciences & Philosophy', 'Articles on Social Sciences', 'Open Source Tech Envoy Corpus']","['General Relativity', 'Nanotechnology', 'Deep Learning', 'Microbiome', 'Space Race', 'Bauhaus Movement', 'Sociology of Knowledge']",False,16.22,96.9,B Class
100048,Universal Declaration of Human Rights,en,https://en.wikipedia.org/wiki/Universal_Declaration_of_Human_Rights,"Milestone document in history of human rights Comprehensive survey covering definitions, historical development, and research implications.",820,7,10,False,0,"['Social Sciences & Philosophy', 'Articles on Social Sciences', 'Open Source Tech Envoy Corpus']","['James Webb Space Telescope', 'Dark Matter', 'Mesopotamia', 'Space Race', 'Epistemology', 'Renaissance Art']",False,12.2,64.18,C Class
100049,Epistemology,en,https://en.wikipedia.org/wiki/Epistemology,"Branch of philosophy concerned with nature and scope of knowledge Comprehensive survey covering definitions, historical development, and research implications.",543,2,4,False,0,"['Social Sciences & Philosophy', 'Articles on Social Sciences']","['Existentialism', 'Mesopotamia', 'Galapagos Islands', 'Game Theory', 'Constitutional Law', 'Sociology of Knowledge', 'Postmodern Literature', 'Microbiome', 'Great Barrier Reef']",True,7.37,45.13,Start Class
100050,Behavioral Economics,en,https://en.wikipedia.org/wiki/Behavioral_Economics,"Effects of psychological and social factors on economic decisions Comprehensive survey covering definitions, historical development, and research implications.",659,2,1,True,3,"['Social Sciences & Philosophy', 'Articles on Social Sciences', 'Open Source Tech Envoy Corpus']","['Ottoman Empire', 'Kabuki Theatre', 'Graphene', 'Sahara Desert', 'Nanotechnology', 'Baroque Architecture', 'Galapagos Islands', 'Quantum Computing', 'Public Health']",True,1.52,52.66,Start Class
100051,Constitutional Law,en,https://en.wikipedia.org/wiki/Constitutional_Law,"Body of law defining the role and powers of different entities Comprehensive survey covering definitions, historical development, and research implications.",143,2,1,False,0,"['Social Sciences & Philosophy', 'Articles on Social Sciences']","['James Webb Space Telescope', 'Industrial Revolution', 'Space Race', 'Renaissance Humanism']",True,6.99,35.74,Stub Class
100052,Sociology of Knowledge,en,https://en.wikipedia.org/wiki/Sociology_of_Knowledge,"Study of relationship between human thought and social context Comprehensive survey covering definitions, historical development, and research implications.",1716,5,11,False,0,"['Social Sciences & Philosophy', 'Articles on Social Sciences', 'Open Source Tech Envoy Corpus']","['Industrial Revolution', 'Existentialism', 'General Relativity', 'Ring of Fire', 'Quantum Computing', 'Game Theory']",False,6.41,63.28,C Class
100053,Existentialism,en,https://en.wikipedia.org/wiki/Existentialism,"Philosophical inquiry that explores the problem of human existence Comprehensive survey covering definitions, historical development, and research implications.",562,4,1,True,5,"['Social Sciences & Philosophy', 'Articles on Social Sciences']","['CRISPR Gene Editing', 'Universal Declaration of Human Rights', 'Quantum Computing', 'Byzantine Empire', 'Plate Tectonics', 'Sociology of Knowledge', 'Baroque Architecture', 'Deep Learning']",True,1.78,55.38,Start Class
100054,Public Health,en,https://en.wikipedia.org/wiki/Public_Health,"Science and art of preventing disease and promoting health Comprehensive survey covering definitions, historical development, and research implications.",333,4,3,True,5,"['Social Sciences & Philosophy', 'Articles on Social Sciences']","['Harappan Civilization', 'Graphene', 'Postmodern Literature', 'Sociology of Knowledge', 'Game Theory', 'Film Noir', 'Superconductivity', 'Existentialism', 'Magna Carta']",True,9.01,64.67,Start Class
100055,Foundations of Ottoman Empire,en,https://en.wikipedia.org/wiki/Foundations_of_Ottoman_Empire,"An encyclopedic inquiry into imperial realm controlling much of southeast europe and western asia. Comprehensive survey covering definitions, historical development, and research implications.",2214,10,17,True,8,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Bauhaus Movement', 'Existentialism', 'Impressionism', 'Byzantine Empire', 'Photosynthesis', 'Public Health', 'Magna Carta']",False,7.68,90.12,B Class
100056,Regional Study on French Revolution,en,https://en.wikipedia.org/wiki/Regional_Study_on_French_Revolution,"An encyclopedic inquiry into period of radical political and societal change in france. Comprehensive survey covering definitions, historical development, and research implications.",1301,7,5,True,9,"['History & Civilizations', 'Articles on History', 'Open Source Tech Envoy Corpus']","['Thermodynamics', 'Lake Baikal', 'Surrealism', 'Meiji Restoration', 'Artificial Intelligence']",True,3.84,74.37,C Class
100057,Foundations of Sahara Desert,en,https://en.wikipedia.org/wiki/Foundations_of_Sahara_Desert,"An encyclopedic inquiry into largest hot desert in the world covering north africa. Comprehensive survey covering definitions, historical development, and research implications.",2541,9,29,True,14,"['Geography & Earth', 'Articles on Geography', 'Open Source Tech Envoy Corpus']","['Kabuki Theatre', 'Mount Everest', 'Surrealism', 'Silk Road']",False,11.41,99.13,Good / Featured Article
100058,Foundations of Sociology of Knowledge,en,https://en.wikipedia.org/wiki/Foundations_of_Sociology_of_Knowledge,"An encyclopedic inquiry into study of relationship between human thought and social context. Comprehensive survey covering definitions, historical development, and research implications.",1049,7,11,True,7,"['Social Sciences & Philosophy', 'Articles on Social Sciences', 'Open Source Tech Envoy Corpus']","['Public Health', 'Byzantine Empire', 'Existentialism', 'General Relativity', 'Silk Road']",True,10.49,84.82,C Class
100059,Critique of Higgs Boson,en,https://en.wikipedia.org/wiki/Critique_of_Higgs_Boson,"An encyclopedic inquiry into elementary particle in the standard model of particle physics. Comprehensive survey covering definitions, historical development, and research implications.",1687,11,21,True,14,"['Science & Technology', 'Articles on Science', 'Open Source Tech Envoy Corpus']","['Industrial Revolution', 'Meiji Restoration', 'Silk Road', 'Postmodern Literature', 'Bauhaus Movement', 'Sociology of Knowledge', 'Nile River Basin', 'Artificial Intelligence', 'Mount Everest']",False,12.45,94.57,B Class
100060,Regional Study on Great Barrier Reef,en,https://en.wikipedia.org/wiki/Regional_Study_on_Great_Barrier_Reef,"An encyclopedic inquiry into world's largest coral reef system off queensland, australia. Comprehensive survey covering definitions, historical development, and research implications.",674,3,2,True,4,"['Geography & Earth', 'Articles on Geography']","['Ring of Fire', 'Surrealism', 'Film Noir', 'Great Barrier Reef', 'Amazon Rainforest', 'Quantum Computing', 'General Relativity', 'Ancient Alexandria']",True,2.97,55.47,Start Class
100061,Regional Study on Ring of Fire,en,https://en.wikipedia.org/wiki/Regional_Study_on_Ring_of_Fire,"An encyclopedic inquiry into major area in the basin of the pacific ocean where earthquakes occur. Comprehensive survey covering definitions, historical development, and research implications.",1057,4,7,True,6,"['Geography & Earth', 'Articles on Geography']","['Game Theory', 'Nile River Basin', 'Meiji Restoration', 'French Revolution', 'Bauhaus Movement', 'Sahara Desert']",False,6.62,70.81,C Class
100062,Foundations of Galapagos Islands,en,https://en.wikipedia.org/wiki/Foundations_of_Galapagos_Islands,"An encyclopedic inquiry into volcanic archipelago in pacific ocean known for endemic species. Comprehensive survey covering definitions, historical development, and research implications.",2378,10,30,True,12,"['Geography & Earth', 'Articles on Geography', 'Open Source Tech Envoy Corpus']","['Game Theory', 'Ring of Fire', 'Silk Road', 'Kabuki Theatre']",False,12.62,98.78,B Class
100063,Applications of Photosynthesis,en,https://en.wikipedia.org/wiki/Applications_of_Photosynthesis,"An encyclopedic inquiry into biological process converting light energy into chemical energy. Comprehensive survey covering definitions, historical development, and research implications.",1646,10,15,True,12,"['Science & Technology', 'Articles on Science']","['Higgs Boson', 'Magna Carta', 'Artificial Intelligence', 'Film Noir', 'Galapagos Islands']",False,9.11,86.18,B Class
100064,Introduction to Bauhaus Movement,en,https://en.wikipedia.org/wiki/Introduction_to_Bauhaus_Movement,"An encyclopedic inquiry into german art school operational from 1919 to 1933 combining crafts. Comprehensive survey covering definitions, historical development, and research implications.",346,3,3,False,0,"['Literature & Arts', 'Articles on Literature']","['Great Barrier Reef', 'Photosynthesis', 'Artificial Intelligence', 'Antarctic Ice Sheet', 'Ancient Alexandria', 'Ring of Fire', 'Epistemology', 'Amazon Rainforest', 'Meiji Restoration']",True,8.67,46.11,Start Class
100065,Advanced Thermodynamics,en,https://en.wikipedia.org/wiki/Advanced_Thermodynamics,"An encyclopedic inquiry into branch of physics dealing with heat and mechanical energy. Comprehensive survey covering definitions, historical development, and research implications.",1054,7,5,True,10,"['Science & Technology', 'Articles on Science']","['Impressionism', 'Classical Music', 'James Webb Space Telescope', 'Deep Learning', 'Constitutional Law', 'Antarctic Ice Sheet', 'Magna Carta']",False,4.74,71.28,C Class
100066,Regional Study on Epistemology,en,https://en.wikipedia.org/wiki/Regional_Study_on_Epistemology,"An encyclopedic inquiry into branch of philosophy concerned with nature and scope of knowledge. Comprehensive survey covering definitions, historical development, and research implications.",901,5,7,False,0,"['Social Sciences & Philosophy', 'Articles on Social Sciences']","['Magna Carta', 'Renaissance Art', 'Mariana Trench', 'Public Health', 'Antarctic Ice Sheet', 'Baroque Architecture']",False,7.77,56.2,C Class
