task_id,campaign_queue,priority,priority_score,name,quality_tier,word_count,citations_count,citation_density,structural_health,has_infobox,pagerank_authority,in_degree,recommended_action
SPRINT-0024,#1Lib1Ref Citation Deficit,P2 - High,71.0,Critique of Graphene (Vol. 4),Start Class,2799,1,0.36,64.94,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 22 secondary sources.
SPRINT-0025,#1Lib1Ref Citation Deficit,P2 - High,70.3,Contemporary Ancient Alexandria (Vol. 3),Start Class,2776,0,0.0,69.59,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 22 secondary sources.
SPRINT-0026,TemplateData Infobox,P2 - High,70.3,Introduction to Silk Road,C Class,1926,9,4.67,56.74,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0027,#1Lib1Ref Citation Deficit,P2 - High,69.7,Principles of Meiji Restoration,Start Class,2744,1,0.36,67.34,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 22 secondary sources.
SPRINT-0028,TemplateData Infobox,P2 - High,69.4,History of Great Barrier Reef,C Class,1770,10,5.65,58.37,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0029,#1Lib1Ref Citation Deficit,P2 - High,69.0,History of Sociology of Knowledge,Start Class,2694,1,0.37,67.26,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 22 secondary sources.
SPRINT-0030,#1Lib1Ref Citation Deficit,P2 - High,68.4,Introduction to Nile River Basin,Start Class,2653,0,0.0,69.35,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 21 secondary sources.
SPRINT-0031,TemplateData Infobox,P2 - High,68.4,Future Trends in Mariana Trench,C Class,1643,10,6.09,58.64,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0032,TemplateData Infobox,P2 - High,67.9,Future Trends in James Webb Space Telescope,C Class,1569,12,7.65,65.27,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0033,#1Lib1Ref Citation Deficit,P2 - High,67.8,Foundations of Dark Matter,Start Class,2570,1,0.39,67.87,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 21 secondary sources.
SPRINT-0034,TemplateData Infobox,P2 - High,67.4,Introduction to Photosynthesis,C Class,1546,13,8.41,66.93,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0035,TemplateData Infobox,P2 - High,66.9,Principles of Impressionism,C Class,1542,9,5.84,60.66,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0036,#1Lib1Ref Citation Deficit,P2 - High,66.5,Philosophy of Magna Carta (Vol. 10),Start Class,2545,0,0.0,65.8,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 20 secondary sources.
SPRINT-0037,TemplateData Infobox,P2 - High,66.4,Global Impact of Ottoman Empire (Vol. 5),C Class,1440,11,7.64,60.87,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0038,TemplateData Infobox,P2 - High,65.9,Foundations of Behavioral Economics,C Class,1433,9,6.28,55.6,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0039,#1Lib1Ref Citation Deficit,P2 - High,65.9,Philosophy of Renaissance Art,Start Class,2541,1,0.39,66.98,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 20 secondary sources.
SPRINT-0040,TemplateData Infobox,P2 - High,65.7,Universal Declaration of Human Rights,C Class,820,10,12.2,64.18,False,0.01731536435217266,58,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0041,TemplateData Infobox,P2 - High,65.7,Surrealism,Start Class,739,2,2.71,42.56,False,0.01290332220651889,62,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0042,TemplateData Infobox,P2 - High,65.4,Plate Tectonics,C Class,908,8,8.81,58.4,False,0.017485400020978155,47,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0043,#1Lib1Ref Citation Deficit,P2 - High,65.2,Principles of Artificial Intelligence,Start Class,2288,2,0.87,67.75,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 18 secondary sources.
SPRINT-0044,TemplateData Infobox,P2 - High,65.0,Contemporary Space Race,C Class,1410,17,12.06,71.23,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0045,#1Lib1Ref Citation Deficit,P2 - High,64.6,Foundations of Film Noir,Start Class,2211,0,0.0,65.06,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 18 secondary sources.
SPRINT-0046,TemplateData Infobox,P2 - High,64.5,Philosophy of Industrial Revolution,C Class,1382,4,2.89,49.33,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0047,TemplateData Infobox,P2 - High,64.0,Philosophy of James Webb Space Telescope (Vol. 4),C Class,1353,8,5.91,59.48,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0048,#1Lib1Ref Citation Deficit,P2 - High,64.0,History of Universal Declaration of Human Rights,Start Class,2099,2,0.95,67.41,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 17 secondary sources.
SPRINT-0049,TemplateData Infobox,P2 - High,63.5,Advanced Behavioral Economics,C Class,1350,6,4.44,56.06,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0050,#1Lib1Ref Citation Deficit,P2 - High,63.3,History of Superconductivity (Vol. 9),Start Class,2008,1,0.5,69.24,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 16 secondary sources.
SPRINT-0051,#1Lib1Ref Citation Deficit,P2 - High,62.7,Philosophy of Harappan Civilization (Vol. 3),Start Class,1992,1,0.5,65.86,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 16 secondary sources.
SPRINT-0052,TemplateData Infobox,P2 - High,62.7,History of Harappan Civilization,C Class,1336,4,2.99,52.63,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0053,TemplateData Infobox,P2 - High,62.7,Future Trends in Existentialism,C Class,1336,15,11.23,66.41,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0054,#1Lib1Ref Citation Deficit,P2 - High,62.1,Regional Study on Meiji Restoration,Start Class,1882,1,0.53,65.61,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 15 secondary sources.
SPRINT-0055,TemplateData Infobox,P2 - High,62.0,Global Impact of Antarctic Ice Sheet (Vol. 3),C Class,1324,6,4.53,52.76,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0056,TemplateData Infobox,P2 - High,61.5,Foundations of Antarctic Ice Sheet,C Class,1317,11,8.35,64.8,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0057,#1Lib1Ref Citation Deficit,P2 - High,61.4,Global Impact of Quantum Computing,Start Class,1571,0,0.0,63.27,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 13 secondary sources.
SPRINT-0058,#1Lib1Ref Citation Deficit,P2 - High,61.1,Existentialism,Start Class,562,1,1.78,55.38,True,0.016899180818020085,55,Add inline reliable citations (#1Lib1Ref). Target at least 4 secondary sources.
SPRINT-0059,TemplateData Infobox,P2 - High,61.0,History of Epistemology,C Class,1308,11,8.41,64.85,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0060,#1Lib1Ref Citation Deficit,P2 - High,60.8,Contemporary Industrial Revolution,Start Class,1352,0,0.0,62.48,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 11 secondary sources.
SPRINT-0061,TemplateData Infobox,P2 - High,60.5,Applications of Mariana Trench,C Class,1296,9,6.94,56.06,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0062,#1Lib1Ref Citation Deficit,P2 - High,60.2,Future Trends in Sahara Desert (Vol. 9),Start Class,1351,1,0.74,64.18,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 11 secondary sources.
SPRINT-0063,TemplateData Infobox,P2 - High,60.0,Principles of Magna Carta,C Class,1295,5,3.86,54.37,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0064,TemplateData Infobox,P2 - High,59.6,Philosophy of Space Race,C Class,1256,11,8.76,63.16,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0065,#1Lib1Ref Citation Deficit,P2 - High,59.5,Foundations of Nile River Basin,Start Class,1283,2,1.56,65.74,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 10 secondary sources.
SPRINT-0066,TemplateData Infobox,P2 - High,59.1,Philosophy of Harappan Civilization,C Class,1250,15,12.0,66.06,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0067,#1Lib1Ref Citation Deficit,P2 - High,58.8,Postmodern Literature,Start Class,529,3,5.67,61.35,True,0.019607772475625763,56,Add inline reliable citations (#1Lib1Ref). Target at least 4 secondary sources.
SPRINT-0068,TemplateData Infobox,P2 - High,58.6,Introduction to Dark Matter,C Class,1247,7,5.61,52.67,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0069,#1Lib1Ref Citation Deficit,P2 - High,58.3,Applications of Superconductivity (Vol. 10),Start Class,724,2,2.76,56.03,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0070,TemplateData Infobox,P2 - High,58.1,Foundations of Sahara Desert (Vol. 1),C Class,1242,9,7.25,61.64,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0071,TemplateData Infobox,P2 - High,57.6,Introduction to Thermodynamics,C Class,1232,6,4.87,56.23,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0072,#1Lib1Ref Citation Deficit,P2 - High,57.6,Introduction to Epistemology,Start Class,721,2,2.77,42.52,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0073,TemplateData Infobox,P2 - High,57.1,Contemporary Ring of Fire,C Class,1229,7,5.7,58.06,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0074,#1Lib1Ref Citation Deficit,P2 - High,56.7,Principles of Magna Carta (Vol. 3),Start Class,711,3,4.22,41.23,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0075,#1Lib1Ref Citation Deficit,P2 - High,56.7,Applications of Homeric Epics,Start Class,711,2,2.81,42.51,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0076,TemplateData Infobox,P2 - High,56.1,Contemporary Graphene (Vol. 1),C Class,1210,10,8.26,60.28,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0077,#1Lib1Ref Citation Deficit,P2 - High,55.7,Regional Study on Bauhaus Movement,C Class,707,3,4.24,59.06,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0078,TemplateData Infobox,P2 - High,55.6,Contemporary CRISPR Gene Editing (Vol. 8),C Class,1202,11,9.15,60.18,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0079,TemplateData Infobox,P2 - High,55.1,Critique of Graphene (Vol. 3),C Class,1199,11,9.17,62.2,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0080,#1Lib1Ref Citation Deficit,P2 - High,55.1,Principles of Game Theory,C Class,701,3,4.28,58.24,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0081,TemplateData Infobox,P2 - High,54.7,Contemporary Graphene,C Class,1195,10,8.37,63.71,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0082,#1Lib1Ref Citation Deficit,P2 - High,54.5,Contemporary Quantum Computing (Vol. 4),C Class,696,3,4.31,44.58,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0083,TemplateData Infobox,P2 - High,54.2,Global Impact of Behavioral Economics,C Class,1189,6,5.05,56.31,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0084,#1Lib1Ref Citation Deficit,P2 - High,53.8,Regional Study on Great Barrier Reef (Vol. 2),C Class,695,3,4.32,44.59,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0085,TemplateData Infobox,P2 - High,53.7,Critique of Ottoman Empire (Vol. 7),C Class,1188,10,8.42,60.43,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0086,TemplateData Infobox,P2 - High,53.4,Epistemology,Start Class,543,4,7.37,45.13,False,0.01681782861953403,67,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0087,#1Lib1Ref Citation Deficit,P2 - High,53.2,Future Trends in Space Race,Start Class,690,2,2.9,43.82,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0088,TemplateData Infobox,P2 - High,53.2,Regional Study on Mesopotamia,C Class,1187,7,5.9,54.84,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0089,#1Lib1Ref Citation Deficit,P2 - High,52.6,History of Sahara Desert,Start Class,689,1,1.45,55.96,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 6 secondary sources.
SPRINT-0090,TemplateData Infobox,P2 - High,52.5,Principles of James Webb Space Telescope,C Class,1174,10,8.52,63.85,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0091,TemplateData Infobox,P2 - High,52.5,Global Impact of Impressionism,C Class,1174,10,8.52,63.85,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0092,#1Lib1Ref Citation Deficit,P2 - High,51.9,Global Impact of Classical Music (Vol. 2),Start Class,685,1,1.46,39.02,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0093,TemplateData Infobox,P2 - High,51.7,Global Impact of Higgs Boson,C Class,1137,10,8.8,64.1,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0094,#1Lib1Ref Citation Deficit,P2 - High,51.3,Principles of Homeric Epics (Vol. 6),Start Class,683,1,1.46,41.01,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0095,TemplateData Infobox,P2 - High,51.2,Regional Study on Artificial Intelligence (Vol. 2),C Class,1130,13,11.5,64.33,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0096,#1Lib1Ref Citation Deficit,P2 - High,50.7,Contemporary Antarctic Ice Sheet (Vol. 6),Start Class,678,2,2.95,41.8,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0097,TemplateData Infobox,P2 - High,50.7,Principles of Meiji Restoration (Vol. 8),C Class,1124,6,5.34,56.45,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0098,TemplateData Infobox,P2 - High,50.2,Future Trends in Space Race (Vol. 5),C Class,1115,9,8.07,60.3,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0099,#1Lib1Ref Citation Deficit,P2 - High,50.0,Regional Study on Great Barrier Reef,Start Class,674,2,2.97,55.47,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0100,TemplateData Infobox,P2 - High,49.8,Global Impact of Behavioral Economics (Vol. 8),C Class,1111,11,9.9,62.89,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0101,#1Lib1Ref Citation Deficit,P2 - High,49.4,Future Trends in Magna Carta,C Class,660,3,4.55,43.33,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0102,TemplateData Infobox,P2 - High,49.3,Applications of Classical Music,C Class,1109,10,9.02,62.3,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0103,TemplateData Infobox,P2 - High,48.8,Advanced Bauhaus Movement (Vol. 3),C Class,1101,12,10.9,66.93,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0104,TemplateData Infobox,P2 - High,48.3,Introduction to Byzantine Empire,C Class,1098,4,3.64,52.57,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0105,TemplateData Infobox,P2 - High,47.8,Principles of CRISPR Gene Editing (Vol. 4),C Class,1082,12,11.09,63.5,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0106,#1Lib1Ref Citation Deficit,P2 - High,47.8,Regional Study on Meiji Restoration (Vol. 9),Start Class,657,2,3.04,38.44,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0107,#1Lib1Ref Citation Deficit,P2 - High,47.8,Regional Study on Plate Tectonics,Start Class,657,1,1.52,49.31,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0108,TemplateData Infobox,P2 - High,47.3,History of Behavioral Economics,C Class,1056,10,9.47,59.38,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0109,#1Lib1Ref Citation Deficit,P2 - High,46.9,Introduction to Space Race,Start Class,654,2,3.06,59.53,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0110,TemplateData Infobox,P2 - High,46.8,Introduction to Existentialism,C Class,1044,10,9.58,61.49,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0111,TemplateData Infobox,P2 - High,46.3,Philosophy of Graphene,C Class,1035,7,6.76,58.74,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0112,#1Lib1Ref Citation Deficit,P2 - High,46.2,Regional Study on Sahara Desert,Start Class,653,2,3.06,43.77,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0113,TemplateData Infobox,P2 - High,45.8,Introduction to Space Race (Vol. 7),C Class,1031,8,7.76,58.82,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0114,#1Lib1Ref Citation Deficit,P2 - High,45.6,Applications of Impressionism,Start Class,650,1,1.54,53.37,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0115,TemplateData Infobox,P2 - High,45.3,Applications of Quantum Computing (Vol. 2),C Class,1016,6,5.91,56.77,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0116,#1Lib1Ref Citation Deficit,P2 - High,45.0,Global Impact of Sahara Desert,Start Class,641,3,4.68,44.7,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0117,TemplateData Infobox,P2 - High,44.4,Critique of Magna Carta (Vol. 8),C Class,943,12,12.73,62.78,False,0.00030120481927710846,0,Integrate TemplateData Infobox with at least 8 key biographical/domain parameters.
SPRINT-0118,#1Lib1Ref Citation Deficit,P3 - Medium,44.3,Critique of General Relativity (Vol. 9),Start Class,639,3,4.69,60.95,True,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0119,#1Lib1Ref Citation Deficit,P3 - Medium,43.7,Contemporary Renaissance Humanism,Start Class,633,3,4.74,46.73,False,0.00030120481927710846,0,Add inline reliable citations (#1Lib1Ref). Target at least 5 secondary sources.
SPRINT-0120,Stub Expansion,P2 - High,43.6,Future Trends in Galapagos Islands,Stub Class,100,1,10.0,39.71,False,0.00030120481927710846,0,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0121,Stub Expansion,P2 - High,43.6,Philosophy of Nanotechnology (Vol. 8),Start Class,349,1,2.87,55.76,True,0.00030120481927710846,0,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0122,Stub Expansion,P2 - High,43.6,Foundations of Mount Everest,Start Class,320,1,3.12,37.51,False,0.00030120481927710846,0,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0123,Stub Expansion,P2 - High,43.6,Contemporary Mesopotamia,Stub Class,249,2,8.03,42.15,False,0.00030120481927710846,0,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0124,Stub Expansion,P2 - High,43.6,Critique of Industrial Revolution,Start Class,323,1,3.1,41.53,False,0.00030120481927710846,0,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0125,Stub Expansion,P2 - High,43.6,Regional Study on Nanotechnology (Vol. 4),Stub Class,101,0,0.0,24.16,False,0.00030120481927710846,0,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0126,Stub Expansion,P2 - High,43.6,Critique of Renaissance Humanism,Stub Class,160,2,12.5,42.78,False,0.00030120481927710846,0,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
SPRINT-0127,Stub Expansion,P2 - High,43.6,Critique of Amazon Rainforest,Stub Class,248,0,0.0,27.56,False,0.00030120481927710846,0,Expand lead section beyond stub threshold (>500 words) and add at least 2 structured subheadings.
